Time,PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 1:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 1:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 1:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 1:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 1:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 2:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 2:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 2:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 2:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 2:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 3:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 3:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 3:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 3:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 3:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 4:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 4:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 4:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 4:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 4:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 5:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 5:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 5:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 5:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 5:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 6:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 6:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 6:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 6:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 6:DesPer 1:Des Tot Cool Cap [W]
00:05:00,7.678521E-02,1.574029E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,5.515449E-02,1.130618E+03,5.515449E-02,0.000000E+00,0.000000E+00,9.029585E-02,1.850985E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,1.275663E-01,2.614996E+03,1.275663E-01,0.000000E+00,0.000000E+00
00:10:00,7.684983E-02,1.575354E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,5.515449E-02,1.130618E+03,5.515449E-02,0.000000E+00,0.000000E+00,9.035796E-02,1.852258E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,1.275663E-01,2.614996E+03,1.275663E-01,0.000000E+00,0.000000E+00
00:15:00,7.691227E-02,1.576633E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,5.515449E-02,1.130618E+03,5.515449E-02,0.000000E+00,0.000000E+00,9.041796E-02,1.853488E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,1.275663E-01,2.614996E+03,1.275663E-01,0.000000E+00,0.000000E+00
00:20:00,7.697195E-02,1.577857E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,5.515449E-02,1.130618E+03,5.515449E-02,0.000000E+00,0.000000E+00,9.047536E-02,1.854665E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,1.275663E-01,2.614996E+03,1.275663E-01,0.000000E+00,0.000000E+00
00:25:00,7.702899E-02,1.579026E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,5.515449E-02,1.130618E+03,5.515449E-02,0.000000E+00,0.000000E+00,9.053026E-02,1.855790E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,1.275663E-01,2.614996E+03,1.275663E-01,0.000000E+00,0.000000E+00
00:30:00,7.708373E-02,1.580148E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,5.515449E-02,1.130618E+03,5.515449E-02,0.000000E+00,0.000000E+00,9.058296E-02,1.856870E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,1.275663E-01,2.614996E+03,1.275663E-01,0.000000E+00,0.000000E+00
00:35:00,7.713626E-02,1.581225E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,5.515449E-02,1.130618E+03,5.515449E-02,0.000000E+00,0.000000E+00,9.063355E-02,1.857908E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,1.275663E-01,2.614996E+03,1.275663E-01,0.000000E+00,0.000000E+00
00:40:00,7.718679E-02,1.582261E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,5.515449E-02,1.130618E+03,5.515449E-02,0.000000E+00,0.000000E+00,9.068225E-02,1.858906E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,1.275663E-01,2.614996E+03,1.275663E-01,0.000000E+00,0.000000E+00
00:45:00,7.723542E-02,1.583258E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,5.515449E-02,1.130618E+03,5.515449E-02,0.000000E+00,0.000000E+00,9.072914E-02,1.859867E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,1.275663E-01,2.614996E+03,1.275663E-01,0.000000E+00,0.000000E+00
00:50:00,7.728220E-02,1.584217E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,5.515449E-02,1.130618E+03,5.515449E-02,0.000000E+00,0.000000E+00,9.077426E-02,1.860792E+03,6.100248E-02,0.000000E+00,0.000000E+00,1.350769E-01,2.768957E+03,1.350769E-01,0.000000E+00,0.000000E+00,1.275663E-01,2.614996E+03,1.275663E-01,0.000000E+00,0.000000E+00
