Time,THERMAL ZONE 1:GREENVILLE-SPARTANBURG INTL A ANN HTG 99% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1::Des Sens Cool Load [W],THERMAL ZONE 1:GREENVILLE-SPARTANBURG INTL A ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Cool Mass Flow [kg/s],THERMAL ZONE 2:GREENVILLE-SPARTANBURG INTL A ANN HTG 99% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2::Des Sens Cool Load [W],THERMAL ZONE 2:GREENVILLE-SPARTANBURG INTL A ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2::Des Cool Mass Flow [kg/s],THERMAL ZONE 3:GREENVILLE-SPARTANBURG INTL A ANN HTG 99% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3::Des Sens Cool Load [W],THERMAL ZONE 3:GREENVILLE-SPARTANBURG INTL A ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3::Des Cool Mass Flow [kg/s],THERMAL ZONE 4:GREENVILLE-SPARTANBURG INTL A ANN HTG 99% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4::Des Sens Cool Load [W],THERMAL ZONE 4:GREENVILLE-SPARTANBURG INTL A ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4::Des Cool Mass Flow [kg/s],THERMAL ZONE 5:GREENVILLE-SPARTANBURG INTL A ANN HTG 99% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5::Des Sens Cool Load [W],THERMAL ZONE 5:GREENVILLE-SPARTANBURG INTL A ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5::Des Cool Mass Flow [kg/s],THERMAL ZONE 6:GREENVILLE-SPARTANBURG INTL A ANN HTG 99% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6::Des Sens Cool Load [W],THERMAL ZONE 6:GREENVILLE-SPARTANBURG INTL A ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6::Des Cool Mass Flow [kg/s]
00:05:00,1.357179E+03,0.000000E+00,6.142817E-02,0.000000E+00,2.236603E+03,0.000000E+00,1.012324E-01,0.000000E+00,6.305346E+02,0.000000E+00,2.853905E-02,0.000000E+00,1.595979E+03,0.000000E+00,7.223668E-02,0.000000E+00,2.227374E+03,0.000000E+00,1.008147E-01,0.000000E+00,2.218321E+03,0.000000E+00,1.004049E-01,0.000000E+00
00:10:00,1.358321E+03,0.000000E+00,6.147986E-02,0.000000E+00,2.238830E+03,0.000000E+00,1.013332E-01,0.000000E+00,6.314167E+02,0.000000E+00,2.857897E-02,0.000000E+00,1.597077E+03,0.000000E+00,7.228637E-02,0.000000E+00,2.229555E+03,0.000000E+00,1.009134E-01,0.000000E+00,2.220619E+03,0.000000E+00,1.005089E-01,0.000000E+00
00:15:00,1.359424E+03,0.000000E+00,6.152982E-02,0.000000E+00,2.240986E+03,0.000000E+00,1.014308E-01,0.000000E+00,6.322705E+02,0.000000E+00,2.861762E-02,0.000000E+00,1.598138E+03,0.000000E+00,7.233437E-02,0.000000E+00,2.231664E+03,0.000000E+00,1.010088E-01,0.000000E+00,2.222840E+03,0.000000E+00,1.006094E-01,0.000000E+00
00:20:00,1.360479E+03,0.000000E+00,6.157756E-02,0.000000E+00,2.243048E+03,0.000000E+00,1.015241E-01,0.000000E+00,6.330867E+02,0.000000E+00,2.865456E-02,0.000000E+00,1.599152E+03,0.000000E+00,7.238029E-02,0.000000E+00,2.233682E+03,0.000000E+00,1.011002E-01,0.000000E+00,2.224961E+03,0.000000E+00,1.007054E-01,0.000000E+00
00:25:00,1.361488E+03,0.000000E+00,6.162320E-02,0.000000E+00,2.245022E+03,0.000000E+00,1.016134E-01,0.000000E+00,6.338679E+02,0.000000E+00,2.868992E-02,0.000000E+00,1.600122E+03,0.000000E+00,7.242421E-02,0.000000E+00,2.235613E+03,0.000000E+00,1.011876E-01,0.000000E+00,2.226988E+03,0.000000E+00,1.007972E-01,0.000000E+00
00:30:00,1.362455E+03,0.000000E+00,6.166698E-02,0.000000E+00,2.246920E+03,0.000000E+00,1.016993E-01,0.000000E+00,6.346184E+02,0.000000E+00,2.872389E-02,0.000000E+00,1.601054E+03,0.000000E+00,7.246636E-02,0.000000E+00,2.237469E+03,0.000000E+00,1.012716E-01,0.000000E+00,2.228931E+03,0.000000E+00,1.008851E-01,0.000000E+00
00:35:00,1.363383E+03,0.000000E+00,6.170900E-02,0.000000E+00,2.248743E+03,0.000000E+00,1.017819E-01,0.000000E+00,6.353395E+02,0.000000E+00,2.875652E-02,0.000000E+00,1.601948E+03,0.000000E+00,7.250684E-02,0.000000E+00,2.239253E+03,0.000000E+00,1.013523E-01,0.000000E+00,2.230796E+03,0.000000E+00,1.009695E-01,0.000000E+00
00:40:00,1.364277E+03,0.000000E+00,6.174943E-02,0.000000E+00,2.250500E+03,0.000000E+00,1.018614E-01,0.000000E+00,6.360340E+02,0.000000E+00,2.878796E-02,0.000000E+00,1.602809E+03,0.000000E+00,7.254580E-02,0.000000E+00,2.240971E+03,0.000000E+00,1.014301E-01,0.000000E+00,2.232589E+03,0.000000E+00,1.010507E-01,0.000000E+00
00:45:00,1.365136E+03,0.000000E+00,6.178834E-02,0.000000E+00,2.252194E+03,0.000000E+00,1.019380E-01,0.000000E+00,6.367031E+02,0.000000E+00,2.881824E-02,0.000000E+00,1.603638E+03,0.000000E+00,7.258332E-02,0.000000E+00,2.242626E+03,0.000000E+00,1.015050E-01,0.000000E+00,2.234313E+03,0.000000E+00,1.011287E-01,0.000000E+00
00:50:00,1.365963E+03,0.000000E+00,6.182576E-02,0.000000E+00,2.253824E+03,0.000000E+00,1.020118E-01,0.000000E+00,6.373470E+02,0.000000E+00,2.884739E-02,0.000000E+00,1.604435E+03,0.000000E+00,7.261941E-02,0.000000E+00,2.244219E+03,0.000000E+00,1.015771E-01,0.000000E+00,2.235971E+03,0.000000E+00,1.012038E-01,0.000000E+00
